year,total_enrollment,school,pinellas_flag,percent_pre_kinder_ready,percent_passing_reading,percent_passing_math,percent_free_lunch,percent_black_enrollment,majority_free_lunch_flag,majority_black_enrollment_flag,district,FF_school_flag
2014,549,LAKEWOOD ELEMENTARY SCHOOL                   ,TRUE,62,19,15,0.68852459,0.817850638,TRUE,TRUE,PINELLAS    ,TRUE
2014,410,MELROSE ELEMENTARY SCHOOL                    ,TRUE,51,13,7,0.807317073,0.858536585,TRUE,TRUE,PINELLAS    ,TRUE
2014,591,CAMPBELL PARK ELEMENTARY SCHOOL              ,TRUE,48,24,20,0.72927242,0.817258883,TRUE,TRUE,PINELLAS    ,TRUE
2014,632,FAIRMOUNT PARK ELEMENTARY SCHL               ,TRUE,47,14,9,0.77056962,0.851265823,TRUE,TRUE,PINELLAS    ,TRUE
2014,510,MAXIMO ELEMENTARY SCHOOL                     ,TRUE,66,22,11,0.621568627,0.794117647,TRUE,TRUE,PINELLAS    ,TRUE
2014,324,PINELLAS PRIMARY ACADEMY                     ,TRUE,,66,70,0.222222222,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,357,WINDSOR PREPARATORY ACADEMY                  ,TRUE,93,54,32,0.380952381,0.092436975,FALSE,FALSE,PINELLAS    ,FALSE
2014,429,ANONA ELEMENTARY SCHOOL                      ,TRUE,83,70,63,0.407925408,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,563,BARDMOOR ELEMENTARY SCHOOL                   ,TRUE,84,49,38,0.442273535,0.078152753,FALSE,FALSE,PINELLAS    ,FALSE
2014,806,BAUDER ELEMENTARY SCHOOL                     ,TRUE,80,76,79,0.217121588,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,648,BAY VISTA FUNDAMENTAL ELEM.                  ,TRUE,98,74,69,0.257716049,0.323029366,FALSE,FALSE,PINELLAS    ,FALSE
2014,662,BELCHER ELEMENTARY SCHOOL                    ,TRUE,79,55,56,0.373111782,0.096676737,FALSE,FALSE,PINELLAS    ,FALSE
2014,634,BELLEAIR ELEMENTARY SCHOOL                   ,TRUE,58,41,38,0.641955836,0.249211356,TRUE,FALSE,PINELLAS    ,FALSE
2014,661,BAY POINT ELEMENTARY SCHOOL                  ,TRUE,86,68,58,0.472012103,0.472012103,FALSE,FALSE,PINELLAS    ,FALSE
2014,371,BEAR CREEK ELEMENTARY SCHOOL                 ,TRUE,86,36,28,0.619946092,0.450134771,TRUE,FALSE,PINELLAS    ,FALSE
2014,529,BLANTON ELEMENTARY SCHOOL                    ,TRUE,75,46,48,0.540642722,0.162570888,TRUE,FALSE,PINELLAS    ,FALSE
2014,539,BROOKER CREEK ELEMENTARY SCHL                ,TRUE,94,84,81,0.07606679,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,507,CROSS BAYOU ELEMENTARY SCHOOL                ,TRUE,78,48,43,0.353057199,0.08086785,FALSE,FALSE,PINELLAS    ,FALSE
2014,673,CURLEW CREEK ELEMENTARY SCHOOL               ,TRUE,92,65,64,0.306092125,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,763,LEILA DAVIS ELEMENTARY SCHOOL                ,TRUE,85,75,70,0.296199214,0.053664921,FALSE,FALSE,PINELLAS    ,FALSE
2014,676,DUNEDIN ELEMENTARY SCHOOL                    ,TRUE,70,45,45,0.485207101,0.183431953,FALSE,FALSE,PINELLAS    ,FALSE
2014,753,EISENHOWER ELEMENTARY SCHOOL                 ,TRUE,58,51,53,0.434262948,0.152722444,FALSE,FALSE,PINELLAS    ,FALSE
2014,558,FOREST LAKES ELEMENTARY SCHOOL               ,TRUE,75,64,64,0.277777778,0.066308244,FALSE,FALSE,PINELLAS    ,FALSE
2014,688,FRONTIER ELEMENTARY SCHOOL                   ,TRUE,69,58,54,0.475290698,0.091569767,FALSE,FALSE,PINELLAS    ,FALSE
2014,619,FUGUITT ELEMENTARY SCHOOL                    ,TRUE,80,61,40,0.471728595,0.144927536,FALSE,FALSE,PINELLAS    ,FALSE
2014,701,GARRISON-JONES ELEMENTARY SCHL               ,TRUE,89,60,51,0.409415121,0.041369472,FALSE,FALSE,PINELLAS    ,FALSE
2014,684,JOHN M. SEXTON ELEMENTARY SCHL               ,TRUE,75,56,58,0.444444444,0.137426901,FALSE,FALSE,PINELLAS    ,FALSE
2014,691,LYNCH ELEMENTARY SCHOOL                      ,TRUE,82,58,54,0.387843705,0.10853835,FALSE,FALSE,PINELLAS    ,FALSE
2014,580,PERKINS ELEMENTARY SCHOOL                    ,TRUE,91,80,72,0.39137931,0.332758621,FALSE,FALSE,PINELLAS    ,FALSE
2014,532,HIGHLAND LAKES ELEMENTARY SCHL               ,TRUE,95,79,68,0.296992481,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,718,HIGH POINT ELEMENTARY SCHOOL                 ,TRUE,55,28,31,0.575208914,0.193593315,TRUE,FALSE,PINELLAS    ,FALSE
2014,346,LAKEVIEW FUNDAMENTAL ELEM.                   ,TRUE,94,79,68,0.26300578,0.335260116,FALSE,FALSE,PINELLAS    ,FALSE
2014,495,LEALMAN AVENUE ELEMENTARY SCHOOL             ,TRUE,43,38,36,0.642424242,0.228282828,TRUE,FALSE,PINELLAS    ,FALSE
2014,570,DOUGLAS L. JAMERSON JR. ELEMENTARY           ,TRUE,84,61,76,0.343859649,0.428070175,FALSE,FALSE,PINELLAS    ,FALSE
2014,729,MCMULLEN-BOOTH ELEMENTARY SCHL               ,TRUE,86,56,49,0.478737997,0.074074074,FALSE,FALSE,PINELLAS    ,FALSE
2014,613,MILDRED HELMS ELEM. SCHOOL                   ,TRUE,73,48,38,0.517128874,0.13050571,TRUE,FALSE,PINELLAS    ,FALSE
2014,521,MOUNT VERNON ELEMENTARY SCHOOL               ,TRUE,71,45,45,0.520153551,0.318618042,TRUE,FALSE,PINELLAS    ,FALSE
2014,350,NORTH SHORE ELEMENTARY SCHOOL                ,TRUE,49,61,44,0.414285714,0.234285714,FALSE,FALSE,PINELLAS    ,FALSE
2014,717,OAKHURST ELEMENTARY SCHOOL                   ,TRUE,81,65,66,0.294281729,0.047419805,FALSE,FALSE,PINELLAS    ,FALSE
2014,557,OLDSMAR ELEMENTARY SCHOOL                    ,TRUE,78,69,58,0.421903052,0.070017953,FALSE,FALSE,PINELLAS    ,FALSE
2014,366,ORANGE GROVE ELEMENTARY SCHOOL               ,TRUE,86,67,49,0.43442623,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,725,OZONA ELEMENTARY SCHOOL                      ,TRUE,84,79,67,0.223448276,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,536,CURTIS FUNDAMENTAL ELEMENTARY                ,TRUE,91,90,79,0.098880597,0.070895522,FALSE,FALSE,PINELLAS    ,FALSE
2014,464,PASADENA FUNDAMENTAL ELEM.                   ,TRUE,97,89,81,0.146551724,0,FALSE,FALSE,PINELLAS    ,FALSE
2014,633,PINELLAS CENTRAL ELEM. SCHOOL                ,TRUE,70,58,53,0.393364929,0.154818325,FALSE,FALSE,PINELLAS    ,FALSE
2014,564,PINELLAS PARK ELEMENTARY SCHL                ,TRUE,71,43,31,0.55141844,0.120567376,TRUE,FALSE,PINELLAS    ,FALSE
2014,789,PLUMB ELEMENTARY SCHOOL                      ,TRUE,77,66,61,0.437262357,0.09252218,FALSE,FALSE,PINELLAS    ,FALSE
2014,594,PONCE DE LEON ELEMENTARY SCHOOL              ,TRUE,60,40,46,0.552188552,0.258389262,TRUE,FALSE,PINELLAS    ,FALSE
2014,809,RIDGECREST ELEMENTARY SCHOOL                 ,TRUE,56,69,63,0.396786156,0.231149567,FALSE,FALSE,PINELLAS    ,FALSE
2014,672,SAFETY HARBOR ELEMENTARY SCHOOL              ,TRUE,86,67,60,0.34375,0.077380952,FALSE,FALSE,PINELLAS    ,FALSE
2014,496,SAN JOSE ELEMENTARY SCHOOL                   ,TRUE,88,50,51,0.524193548,0.094758065,TRUE,FALSE,PINELLAS    ,FALSE
2014,537,SANDY LANE ELEMENTARY SCHOOL                 ,TRUE,68,29,38,0.659217877,0.486940299,TRUE,FALSE,PINELLAS    ,FALSE
2014,636,SEMINOLE ELEMENTARY SCHOOL                   ,TRUE,81,68,58,0.449685535,0.054773083,FALSE,FALSE,PINELLAS    ,FALSE
2014,723,SKYCREST ELEMENTARY SCHOOL                   ,TRUE,68,46,43,0.561549101,0.190871369,TRUE,FALSE,PINELLAS    ,FALSE
2014,664,SKYVIEW ELEMENTARY SCHOOL                    ,TRUE,72,52,47,0.50753012,0.084337349,TRUE,FALSE,PINELLAS    ,FALSE
2014,640,STARKEY ELEMENTARY SCHOOL                    ,TRUE,82,63,62,0.3453125,0.075,FALSE,FALSE,PINELLAS    ,FALSE
